id,naam,locatie,provincie,gemeente,deelgemeente,is_vastgesteld,is_beschermd,omvang,erfgoedwaarde,bewaringstoestand,stijl,typologie,context,materiaal,plantensoort,datering,personen,gebeurtenissen,themas,disciplines,dataverantwoordelijke,stamomtrek
303066,Gemengde dreven bij het Kasteel van Laarne,Mellestraat (Laarne),Oost-Vlaanderen,Laarne,Laarne,False,True,Element,aanwezig,bewaard,,"dreven, hakhoutstoven, houtkanten",kasteeldomeinen,,"Acer pseudoplatanus, Alnus glutinosa, Corylus avellana, Fagus sylvatica, Fraxinus excelsior, Populus canadensis (x), Quercus robur, Quercus rubra, Salix",,,Ad hoc-inventarisatie landschappelijk erfgoed 2016,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303070,"Afsluitingshaag van hulst, olm en meidoorn",Heirlandstraat 14 (Lokeren),Oost-Vlaanderen,Lokeren,Daknam,False,False,Element,aanwezig,bewaard,,"afsluitingshagen, geschoren hagen, snoeivormen",erven,,"Crataegus monogyna, Ilex aquifolium, Ulmus minor",,,Ad hoc-inventarisatie landschappelijk erfgoed 2016,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303085,Afsluitingshaag met op stam gezette hulsten,Krekelstraat 163 (Deinze),Oost-Vlaanderen,Deinze,Astene,False,False,Element,aanwezig,bewaard,,"afsluitingshagen, geschoren hagen, op (enen) stam gezette struiken, snoeivormen",erven,,"Crataegus monogyna, Ilex aquifolium",,,Ad hoc-inventarisatie landschappelijk erfgoed 2016,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303089,Populierendreef naar hoevesite Nieuw Goed te Parijs,Parijsestraat (Deinze),Oost-Vlaanderen,Deinze,Astene,False,True,Element,aanwezig,bewaard,,"dreven, opgaande bomen",erven,,Populus canadensis (x),,,Ad hoc-inventarisatie landschappelijk erfgoed 2016,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303498,Hoogstamboomgaard van de Smeetshoeve,Widdingen 1 (Borgloon),Limburg,Borgloon,Kuttekoven,False,True,Element,aanwezig,bewaard,,"boerenboomgaarden, hekken",erven,,"Malus domestica, Prunus avium, Prunus domestica, Pyrus communis var. sativa",tweede kwart 19de eeuw,,Inventarisatie onroerenderfgoedrichtplan Hoogstamboomgaarden,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303552,Cluster van hoogstamboomgaarden,Kuttekovenstraat (Borgloon),Limburg,Borgloon,Kuttekoven,False,True,Element,aanwezig,bewaard,,"hekken, hoogstamboomgaarden, veekeringshagen",,,,,,Inventarisatie onroerenderfgoedrichtplan Hoogstamboomgaarden,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303553,Cluster van hoogstamboomgaarden,Kleestraat (Borgloon),Limburg,Borgloon,Kuttekoven,False,True,Element,aanwezig,bewaard,,"hekken, hoogstamboomgaarden, veekeringshagen",,,"Malus domestica, Pyrus communis",,,Inventarisatie onroerenderfgoedrichtplan Hoogstamboomgaarden,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303554,Hoogstamboomgaard,Kleestraat (Borgloon),Limburg,Borgloon,Kuttekoven,False,True,Element,aanwezig,bewaard,,hoogstamboomgaarden,,,"Malus domestica, Pyrus communis",,,Inventarisatie onroerenderfgoedrichtplan Hoogstamboomgaarden,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303560,Hoogstamboomgaard van het kasteel van Rullingen,Rullingen 1 (Borgloon),Limburg,Borgloon,Kuttekoven,False,False,Element,aanwezig,bewaard,,"fructuaria, hoogstamboomgaarden, veekeringshagen",landhuizen,,"Crataegus monogyna, Prunus avium, Prunus domestica, Pyrus communis",,,Inventarisatie onroerenderfgoedrichtplan Hoogstamboomgaarden,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
303573,Veekeringen van meidoorn,Sint-Pieterstraat (Voeren),Limburg,Voeren,Sint-Pieters-Voeren,True,False,Element,aanwezig,bewaard,,"geschoren hagen, veekeringshagen","erven, hoogstamboomgaarden, perceelsgrenzen, weilanden",,Crataegus monogyna,,,Inventarisatie houtige beplantingen Voeren,Houtige beplantingen met erfgoedwaarde,Landschappelijk,Agentschap Onroerend Erfgoed,
